Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
fagerbo-57-2640-hedehusene-01691597__57_______,Fagerbo 57,2640,Villa,Tvangsauktion,01-05-2018,1780000.0,1,3
fagerbo-57-2640-hedehusene-01691597__57_______,Fagerbo 57,2640,Villa,Fri handel,15-09-2005,900000.0,2,3
fagerbo-57-2640-hedehusene-01691597__57_______,Fagerbo 57,2640,Villa,Fri handel,29-03-2005,1675000.0,3,3
bindesboellsvej-8-2920-charlottenlund-01570058___8_______,Bindesbøllsvej 8,2920,Villa,Tvangsauktion,18-04-2018,13750000.0,1,3
bindesboellsvej-8-2920-charlottenlund-01570058___8_______,Bindesbøllsvej 8,2920,Villa,Fri handel,24-05-2007,15700000.0,2,3
bindesboellsvej-8-2920-charlottenlund-01570058___8_______,Bindesbøllsvej 8,2920,Villa,Fri handel,20-10-1995,4100000.0,3,3
frederiksdalsvej-194-1-2830-virum-01730229_194__1____,"Frederiksdalsvej 194, 1.",2830,Villalejlighed,Tvangsauktion,04-04-2018,2337280.0,1,3
frederiksdalsvej-194-1-2830-virum-01730229_194__1____,"Frederiksdalsvej 194, 1.",2830,Villalejlighed,Fri handel,28-08-2000,6000000.0,2,3
frederiksdalsvej-194-1-2830-virum-01730229_194__1____,"Frederiksdalsvej 194, 1.",2830,Villalejlighed,Fri handel,15-05-2000,5803100.0,3,3
kallerupvej-35-2640-hedehusene-01693627__35_______,Kallerupvej 35,2640,Villa,Tvangsauktion,13-02-2018,780000.0,1,2
kallerupvej-35-2640-hedehusene-01693627__35_______,Kallerupvej 35,2640,Villa,Fri handel,29-06-2005,1475000.0,2,2
viggo-rothes-vej-13-2920-charlottenlund-01570936__13_______,Viggo Rothes Vej 13,2920,Villa,Tvangsauktion,09-01-2018,20300000.0,1,3
viggo-rothes-vej-13-2920-charlottenlund-01570936__13_______,Viggo Rothes Vej 13,2920,Villa,Fri handel,08-02-2016,23000.0,2,3
viggo-rothes-vej-13-2920-charlottenlund-01570936__13_______,Viggo Rothes Vej 13,2920,Villa,Fri handel,08-02-2016,23000.0,3,3
robinievej-60-2620-albertslund-01650387__60_______,Robinievej 60,2620,Rækkehus,Tvangsauktion,09-01-2018,2695000.0,1,2
robinievej-60-2620-albertslund-01650387__60_______,Robinievej 60,2620,Rækkehus,Fri handel,21-02-2007,2595000.0,2,2
gammelgaards-alle-27-2-26-2665-vallensbaek-strand-01871704__27__2__26,"Gammelgårds Alle 27, 2. 26.",2665,Ejerlejlighed,Tvangsauktion,06-12-2017,1551000.0,1,3
gammelgaards-alle-27-2-26-2665-vallensbaek-strand-01871704__27__2__26,"Gammelgårds Alle 27, 2. 26.",2665,Ejerlejlighed,Fri handel,24-01-2006,1650000.0,2,3
gammelgaards-alle-27-2-26-2665-vallensbaek-strand-01871704__27__2__26,"Gammelgårds Alle 27, 2. 26.",2665,Ejerlejlighed,Fri handel,18-02-1997,422800.0,3,3
birkevang-40-2640-hedehusene-01690430__40_______,Birkevang 40,2640,Villa,Tvangsauktion,05-12-2017,1857000.0,1,3
birkevang-40-2640-hedehusene-01690430__40_______,Birkevang 40,2640,Villa,Fri handel,01-07-2007,2500000.0,2,3
birkevang-40-2640-hedehusene-01690430__40_______,Birkevang 40,2640,Villa,Fri handel,05-01-2004,1285000.0,3,3
batterivej-1-2860-soeborg-01590055___1_______,Batterivej 1,2860,Villa,Tvangsauktion,10-10-2017,3050000.0,1,3
batterivej-1-2860-soeborg-01590055___1_______,Batterivej 1,2860,Villa,Fri handel,29-03-2003,1524600.0,2,3
batterivej-1-2860-soeborg-01590055___1_______,Batterivej 1,2860,Villa,Fri handel,18-10-1993,670000.0,3,3
froehaven-28-2630-taastrup-01691908__28_______,Frøhaven 28,2630,Villa,Tvangsauktion,17-05-2017,2907000.0,1,1
almeengen-3-2740-skovlunde-01510507___3_______,Almeengen 3,2740,Villa,Tvangsauktion,16-05-2017,3495000.0,1,2
almeengen-3-2740-skovlunde-01510507___3_______,Almeengen 3,2740,Villa,Fri handel,15-11-2003,2200000.0,2,2
klovtofteparken-12-2630-taastrup-01693871__12_______,Klovtofteparken 12,2630,Rækkehus,Tvangsauktion,18-04-2017,2100000.0,1,3
klovtofteparken-12-2630-taastrup-01693871__12_______,Klovtofteparken 12,2630,Rækkehus,Fri handel,01-08-2006,2550000.0,2,3
klovtofteparken-12-2630-taastrup-01693871__12_______,Klovtofteparken 12,2630,Rækkehus,Fri handel,31-05-1996,750000.0,3,3
ulborgvej-16-2760-maaloev-01510807__16_______,Ulborgvej 16,2760,Villa,Tvangsauktion,18-04-2017,1973400.0,1,2
ulborgvej-16-2760-maaloev-01510807__16_______,Ulborgvej 16,2760,Villa,Fri handel,14-01-1997,606000.0,2,2
pileskovvej-13-2635-ishoej-01830560__13_______,Pileskovvej 13,2635,Villa,Tvangsauktion,31-03-2017,2768300.0,1,2
pileskovvej-13-2635-ishoej-01830560__13_______,Pileskovvej 13,2635,Villa,Fri handel,19-07-2002,1945000.0,2,2
skovvej-7-2750-ballerup-01510309___7_______,Skovvej 7,2750,Villa,Tvangsauktion,21-03-2017,2674063.0,1,2
skovvej-7-2750-ballerup-01510309___7_______,Skovvej 7,2750,Villa,Fri handel,19-03-1992,970000.0,2,2
groennevej-42-2830-virum-01730302__42_______,Grønnevej 42,2830,Rækkehus,Tvangsauktion,01-03-2017,6600000.0,1,1
lundtoftevej-293-0-tv-2800-kongens-lyngby-01730527_293_st__tv,"Lundtoftevej 293, st. tv.",2800,Ejerlejlighed,Tvangsauktion,01-03-2017,5028400.0,1,2
